g_loss,d_loss,wasserstein
1.870422284711491,0.07291625846516002,2.06448161940683
5.654038234190508,-3.955473791469227,4.249151121486317
3.9150666106830943,-3.3408736749128862,3.59656023979187
1.1929713433439082,-3.1544277017766778,3.445989413694902
-0.28524074161594565,-2.49302398074757,2.836317105726762
-0.6060501716353677,-1.9999455321918835,2.192218628796664
-0.7283639081499793,-2.13536874814467,2.317073800347068
-0.7961987453428182,-2.2179338065060703,2.444601134820418
-0.6676719242876227,-2.2570874257521196,2.4601557579907505
-0.6580298705534502,-2.3036310456015845,2.544870831749656
-1.4601120274852624,-1.8752836314114658,2.0460935722697866
-1.821368157863617,-1.861294226212935,2.112115990031849
-2.0420754186131735,-1.6277606378902088,1.8180923461914062
-1.7010813518003984,-1.8671723929318516,2.093608953736045
-1.761256673119285,-2.1094291535290806,2.33198175647042
-1.425183893604712,-1.8535344817421653,2.07499868219549
-1.214638208801096,-1.5480987375432795,1.7688336914235896
-0.8847626156427644,-1.6230643770911477,1.827376127243042
-1.747606483372775,-1.5109312480146235,1.6986063502051614
-1.525167465209961,-1.3622666976668618,1.5311300321058794
-1.0667866603894667,-1.6986083659258755,1.9103374697945334
-1.2946354922923176,-1.7117181474512273,1.853767611763694
-1.3362347741018643,-1.5879393057389692,1.712787313894792
-1.5863490917465903,-1.4555511366237293,1.5937023813074285
-1.506969315084544,-1.2464471730318936,1.4254325086420232
-1.3328104263002223,-1.3631463646888733,1.521093325181441
-1.5051626535979183,-1.3142201629551975,1.4224768768657337
-1.242067089812322,-1.2421066923574968,1.3977344848892905
-1.4360823116519235,-1.2635411484674974,1.402704043821855
-1.6809813678264618,-1.2156254269860007,1.3495863676071167
-1.5922147353941745,-1.1548402092673562,1.2740596424449573
-1.4833356277509169,-1.0604110766540875,1.1957516019994563
-0.9507289379835129,-1.0764915238727222,1.1769613731991162
-1.0021651482040232,-1.1237449496984482,1.2340697754513135
-1.6433545716784217,-1.1747994477098638,1.3038846037604592
-1.076968404379758,-1.2545345100489529,1.3584951975128867
-1.5459857474673877,-0.9922785758972168,1.0963517048142173
-0.9121007756753401,-0.8853730478069999,0.9841910600662231
-0.9941366883841428,-1.0032686428590254,1.129265015775507
-1.6604989821260625,-1.187124783342535,1.2951084483753552
-0.6979458630084991,-1.111688269810243,1.2507151852954517
-1.1520668227564206,-1.1837315559387207,1.3023868745023555
-0.6256742477416992,-1.1176633780652827,1.232943979176608
-1.3004589893601157,-1.2480277012694965,1.3462666110558943
-1.160200395706025,-0.8633276928554882,0.9445346810600974
-0.5353427163579247,-0.8903011815114454,0.9696414416486566
-1.3068221191113645,-0.6950149590318854,0.7743959399786863
-0.43188350850885565,-0.8518143363974311,0.9403326077894731
-1.548835350708528,-0.8306713199073618,0.9436009526252747
-1.1364994062618776,-0.764085439118472,0.8391823064197194
-0.5139263624494727,-0.6766673685474829,0.7881657779216766
-1.3637620386752216,-1.0038991922681981,1.124221227385781
-1.150174936110323,-0.7914279320023276,0.8884385824203491
-1.5379385568878867,-1.0512951206077228,1.1689013892954045
-0.9113694862885908,-1.098263447934931,1.1865749792619185
-0.9750714762644335,-1.080261812291362,1.1981346227905967
-1.3855721164833417,-1.0876703641631387,1.1928098635240034
-1.038741041313518,-1.0286730094389482,1.1344002756205471
-1.7595972567796707,-1.0810437690127979,1.1854515075683594
-1.0307123417204076,-1.0711986910213123,1.2444546601989053
-1.5544967901977627,-1.1679862019690601,1.2794486717744307
-1.2678772996772418,-1.067450374364853,1.1869140104814009
-1.287908908995715,-0.8515861061486331,0.970505335114219
-0.5978722260756926,-0.7250333936377005,0.8240865252234719
-1.1366004754196515,-0.7906550548293374,0.9058613804253665
