g_loss,d_loss,wasserstein
0.503013958533605,5.330527385075887,0.37063607821861905
1.9594062566757202,-1.6313108205795288,1.9728339115778606
3.116238276163737,-2.9715970357259116,3.2772387663523355
4.667421023050944,-3.9222954909006753,4.295610586802165
5.849996248881022,-3.99098006884257,4.328807989756267
5.639059543609619,-3.8483095169067383,4.094395001729329
4.589620113372803,-3.7312090396881104,4.034891764322917
3.492813984553019,-3.624166488647461,3.9387923081715903
2.60176674524943,-3.386796712875366,3.7666898568471274
2.090449571609497,-3.1678521633148193,3.4510703881581626
1.6234065294265747,-2.8641725381215415,3.1256934801737466
1.144062916437785,-2.713933308919271,2.927553415298462
0.470593199133873,-2.485726992289225,2.6859283447265625
0.40396733830372494,-2.3400171597798667,2.517428159713745
0.1638851265112559,-2.2894930044809976,2.462474981943766
-0.20269695917765299,-2.270937363306681,2.4378321965535483
-0.4419044057528178,-2.193185329437256,2.3406970500946045
-0.6368346263964971,-2.222002903620402,2.3763174215952554
-0.8904078006744385,-2.309898296991984,2.5050164063771567
-0.4528111169735591,-2.1269541581471763,2.311411698659261
-0.20246179898579916,-2.319408337275187,2.537069320678711
-0.5426740472515424,-2.291557232538859,2.460634469985962
-0.7920287450154623,-2.3364983399709067,2.5505555470784507
-1.1420338153839111,-2.4726200898488364,2.7300497690836587
-1.2806896368662517,-2.4595344066619873,2.6804823080698648
-1.4862953424453735,-2.320967674255371,2.5288805961608887
-1.5016435384750366,-2.4129451910654702,2.646413485209147
-1.688676118850708,-2.460829814275106,2.6765349706014
-1.625739574432373,-2.2570536931355796,2.48921004931132
-1.7235827247301738,-2.4321948687235513,2.649871349334717
-2.2016118367513022,-2.2121992111206055,2.45719838142395
-2.4049088954925537,-1.9216667413711548,2.0966948668162027
-1.757500022649765,-1.8796064853668213,2.1166263421376548
-1.611575961112976,-1.8164900541305542,2.0098578929901123
-1.8759767214457195,-1.895223577817281,2.1306639512379966
-1.8846981128056843,-1.9341975053151448,2.1570873260498047
-2.0392579237620034,-1.7985470692316692,1.9765697717666626
-1.9752754370371501,-1.6644054253896077,1.8879355192184448
-1.7654591004053752,-1.5641074577967327,1.755020260810852
-1.6649046341578166,-1.462734858194987,1.650090177853902
-1.7513293425242107,-1.3950915733973186,1.5925006866455078
-2.1657779216766357,-1.3043196201324463,1.5116963386535645
-1.7324337164560955,-1.4605741500854492,1.6282735268274944
-1.6767033537228901,-1.5269676049550374,1.7086832125981648
-1.7479164203008015,-1.5454298655192058,1.7316346565882366
-2.0563712120056152,-1.4043643077214558,1.5862582127253215
-2.262919267018636,-1.3238585789998372,1.5147307713826497
-2.1703349351882935,-1.248398741086324,1.4280959765116374
-2.0527193943659463,-1.3132360776265461,1.452266017595927
